date,facility,forecast_pieces,pieces_per_worker_shift,max_workers,available_trailers,trailer_capacity
2026-01-05,HUB-A,61003,9000,38,11,420
2026-01-05,HUB-B,70455,9700,42,12,440
2026-01-05,HUB-C,77122,10400,46,13,460
2026-01-05,HUB-D,83650,11100,50,14,480
2026-01-06,HUB-A,59545,9000,38,11,420
2026-01-06,HUB-B,66326,9700,42,12,440
2026-01-06,HUB-C,78192,10400,46,13,460
2026-01-06,HUB-D,90788,11100,50,14,480
2026-01-07,HUB-A,50424,9000,38,11,420
2026-01-07,HUB-B,58514,9700,42,12,440
2026-01-07,HUB-C,70567,10400,46,13,460
2026-01-07,HUB-D,78642,11100,50,14,480
2026-01-08,HUB-A,52337,9000,38,11,420
2026-01-08,HUB-B,57522,9700,42,12,440
2026-01-08,HUB-C,68906,10400,46,13,460
2026-01-08,HUB-D,79724,11100,50,14,480
2026-01-09,HUB-A,47698,9000,38,11,420
2026-01-09,HUB-B,59035,9700,42,12,440
2026-01-09,HUB-C,62916,10400,46,13,460
2026-01-09,HUB-D,73373,11100,50,14,480
2026-01-10,HUB-A,46106,9000,38,11,420
2026-01-10,HUB-B,59747,9700,42,12,440
2026-01-10,HUB-C,64944,10400,46,13,460
2026-01-10,HUB-D,78368,11100,50,14,480
2026-01-11,HUB-A,52501,9000,38,11,420
2026-01-11,HUB-B,59901,9700,42,12,440
2026-01-11,HUB-C,60946,10400,46,13,460
2026-01-11,HUB-D,75776,11100,50,14,480
2026-01-12,HUB-A,60844,9000,38,11,420
2026-01-12,HUB-B,69862,9700,42,12,440
2026-01-12,HUB-C,73103,10400,46,13,460
2026-01-12,HUB-D,84971,11100,50,14,480
2026-01-13,HUB-A,57868,9000,38,11,420
2026-01-13,HUB-B,66911,9700,42,12,440
2026-01-13,HUB-C,81394,10400,46,13,460
2026-01-13,HUB-D,83915,11100,50,14,480
2026-01-14,HUB-A,51895,9000,38,11,420
2026-01-14,HUB-B,63330,9700,42,12,440
2026-01-14,HUB-C,67132,10400,46,13,460
2026-01-14,HUB-D,77142,11100,50,14,480
2026-01-15,HUB-A,52353,9000,38,11,420
2026-01-15,HUB-B,60704,9700,42,12,440
2026-01-15,HUB-C,65079,10400,46,13,460
2026-01-15,HUB-D,77743,11100,50,14,480
2026-01-16,HUB-A,56348,9000,38,11,420
2026-01-16,HUB-B,55549,9700,42,12,440
2026-01-16,HUB-C,71750,10400,46,13,460
2026-01-16,HUB-D,77881,11100,50,14,480
2026-01-17,HUB-A,49947,9000,38,11,420
2026-01-17,HUB-B,66901,9700,42,12,440
2026-01-17,HUB-C,71439,10400,46,13,460
2026-01-17,HUB-D,73662,11100,50,14,480
2026-01-18,HUB-A,52238,9000,38,11,420
2026-01-18,HUB-B,62345,9700,42,12,440
2026-01-18,HUB-C,68395,10400,46,13,460
2026-01-18,HUB-D,79685,11100,50,14,480
2026-01-19,HUB-A,60787,9000,38,11,420
2026-01-19,HUB-B,71635,9700,42,12,440
2026-01-19,HUB-C,82603,10400,46,13,460
2026-01-19,HUB-D,84337,11100,50,14,480
2026-01-20,HUB-A,61650,9000,38,11,420
2026-01-20,HUB-B,68017,9700,42,12,440
2026-01-20,HUB-C,78407,10400,46,13,460
2026-01-20,HUB-D,82700,11100,50,14,480
2026-01-21,HUB-A,50146,9000,38,11,420
2026-01-21,HUB-B,59872,9700,42,12,440
2026-01-21,HUB-C,71876,10400,46,13,460
2026-01-21,HUB-D,81164,11100,50,14,480
2026-01-22,HUB-A,47764,9000,38,11,420
2026-01-22,HUB-B,57957,9700,42,12,440
